date,city,avg_NO2
2021-10-25,Paris,30.54
2021-10-26,Paris,28.46
2021-10-27,Paris,31.38
2021-10-28,Paris,20.15
2021-10-29,Paris,16.65
2021-10-30,Paris,16.01
2021-10-31,Paris,12.56
2021-11-01,Paris,19.96
2021-11-02,Paris,28.08
2021-11-03,Paris,40.57
2021-11-04,Paris,38.29
2021-11-05,Paris,50.07
2021-11-06,Paris,44.97
2021-11-07,Paris,32.64
2021-11-08,Paris,65.95
2021-11-09,Paris,58.61
2021-11-10,Paris,72.94
2021-11-11,Paris,71.63
2021-11-12,Paris,36.24
2021-11-13,Paris,27.25
2021-11-14,Paris,27.55
2021-11-15,Paris,35.5
2021-11-16,Paris,52.37
2021-11-17,Paris,44.73
2021-11-18,Paris,68.83
2021-11-19,Paris,56.79
2021-11-20,Paris,49.4
2021-11-21,Paris,40.53
2021-11-22,Paris,25.0
2021-11-23,Paris,32.38
2021-11-24,Paris,41.27
2021-11-25,Paris,50.77
2021-11-26,Paris,30.8
2021-11-27,Paris,24.95
2021-11-28,Paris,21.22
2021-11-29,Paris,52.78
2021-11-30,Paris,18.06
2021-12-01,Paris,21.52
2021-12-02,Paris,40.63
2021-12-03,Paris,32.86
2021-12-04,Paris,17.49
2021-12-05,Paris,24.62
2021-12-06,Paris,36.48
2021-12-07,Paris,22.28
2021-12-08,Paris,29.56
2021-12-09,Paris,27.68
2021-12-10,Paris,20.87
2021-12-11,Paris,36.47
2021-12-12,Paris,26.35
2021-12-13,Paris,34.12
2021-12-14,Paris,70.46
2021-12-15,Paris,74.6
2021-12-16,Paris,44.47
2021-12-17,Paris,33.44
2021-12-18,Paris,28.39
2021-12-19,Paris,29.33
2021-12-20,Paris,38.4
2021-12-21,Paris,44.63
2021-12-22,Paris,39.98
2021-12-23,Paris,32.78
2021-12-24,Paris,28.0
2021-12-25,Paris,24.26
2021-12-26,Paris,21.96
2021-12-27,Paris,21.9
2021-12-28,Paris,14.99
2021-12-29,Paris,23.71
2021-12-30,Paris,25.06
2021-12-31,Paris,27.0
2022-01-01,Paris,23.23
2022-01-02,Paris,16.92
2022-01-03,Paris,17.16
2022-01-04,Paris,32.35
2022-01-05,Paris,44.1
2022-01-06,Paris,52.2
2022-01-07,Paris,24.93
2022-01-08,Paris,19.52
2022-01-09,Paris,31.85
2022-01-10,Paris,54.09
2022-01-11,Paris,55.72
2022-01-12,Paris,67.7
2022-01-13,Paris,49.94
2022-01-14,Paris,52.34
2022-01-15,Paris,55.65
2022-01-16,Paris,40.48
2022-01-17,Paris,65.85
2022-01-18,Paris,45.07
2022-01-19,Paris,45.81
2022-01-20,Paris,50.58
2022-01-21,Paris,62.83
2022-01-22,Paris,71.6
2022-01-23,Paris,94.59
2022-01-24,Paris,44.87
2022-01-25,Paris,92.14
2022-01-26,Paris,58.78
2022-01-27,Paris,40.5
2022-01-28,Paris,57.36
2022-01-29,Paris,22.94
2022-01-30,Paris,52.78
2022-01-31,Paris,31.05
2022-02-01,Paris,37.41
2022-02-02,Paris,40.25
2022-02-03,Paris,38.21
2022-02-04,Paris,33.34
2022-02-05,Paris,29.45
2022-02-06,Paris,10.65
2022-02-07,Paris,50.87
2022-02-08,Paris,44.1
2022-02-09,Paris,54.65
2022-02-10,Paris,36.43
2022-02-11,Paris,65.69
2022-02-12,Paris,36.5
2022-02-13,Paris,18.79
2022-02-14,Paris,23.89
2022-02-15,Paris,23.29
2022-02-16,Paris,13.88
2022-02-17,Paris,20.35
2022-02-18,Paris,14.55
2022-02-19,Paris,12.8
2022-02-20,Paris,7.11
2022-02-21,Paris,15.41
2022-02-22,Paris,28.97
2022-02-23,Paris,53.14
2022-02-24,Paris,26.03
2022-02-25,Paris,42.57
2022-02-26,Paris,38.69
2022-02-27,Paris,26.39
2022-02-28,Paris,49.05
2022-03-01,Paris,56.28
2022-03-02,Paris,50.64
2022-03-03,Paris,49.52
2022-03-04,Paris,54.34
2022-03-05,Paris,53.03
2022-03-06,Paris,34.7
2022-03-07,Paris,22.34
2022-03-08,Paris,34.71
2022-03-09,Paris,36.32
2022-03-10,Paris,35.51
2022-03-11,Paris,17.96
2022-03-12,Paris,14.09
2022-03-13,Paris,15.3
2022-03-14,Paris,31.85
2022-03-15,Paris,40.29
2022-03-16,Paris,34.75
2022-03-17,Paris,34.49
2022-03-18,Paris,22.58
2022-03-19,Paris,12.16
2022-03-20,Paris,31.77
2022-03-21,Paris,39.05
2022-03-22,Paris,38.89
2022-03-23,Paris,50.96
2022-03-24,Paris,54.39
2022-03-25,Paris,40.77
2022-03-26,Paris,23.67
2022-03-27,Paris,40.68
2022-03-28,Paris,66.26
2022-03-29,Paris,61.99
2022-03-30,Paris,60.48
2022-03-31,Paris,32.15
2022-04-01,Paris,15.45
2022-04-02,Paris,19.85
2022-04-03,Paris,27.66
2022-04-04,Paris,33.05
2022-04-05,Paris,20.29
2022-04-06,Paris,15.32
2022-04-07,Paris,8.26
2022-04-08,Paris,30.01
2022-04-09,Paris,36.19
2022-04-10,Paris,37.69
2022-04-11,Paris,18.51
2022-04-12,Paris,26.49
2022-04-13,Paris,55.25
2022-04-14,Paris,52.74
2022-04-15,Paris,32.27
2022-04-16,Paris,19.46
2022-04-17,Paris,22.32
2022-04-18,Paris,61.99
2022-04-19,Paris,37.17
2022-04-20,Paris,30.56
2022-04-21,Paris,24.86
2022-04-22,Paris,18.95
2022-04-23,Paris,16.74
2022-04-24,Paris,32.55
2022-04-25,Paris,27.98
2022-04-26,Paris,32.54
2022-04-27,Paris,22.41
2022-04-28,Paris,30.45
2022-04-29,Paris,33.11
2022-04-30,Paris,19.16
2022-05-01,Paris,18.88
2022-05-02,Paris,24.87
2022-05-03,Paris,19.04
2022-05-04,Paris,33.62
2022-05-05,Paris,23.25
2022-05-06,Paris,33.1
2022-05-07,Paris,29.42
2022-05-08,Paris,16.07
2022-05-09,Paris,42.66
2022-05-10,Paris,33.62
2022-05-11,Paris,22.24
2022-05-12,Paris,21.81
2022-05-13,Paris,41.46
2022-05-14,Paris,25.07
2022-05-15,Paris,14.65
2022-05-16,Paris,27.73
2022-05-17,Paris,40.86
2022-05-18,Paris,19.93
2022-05-19,Paris,22.33
2022-05-20,Paris,27.05
2022-05-21,Paris,36.05
2022-05-22,Paris,20.34
2022-05-23,Paris,18.81
2022-05-24,Paris,18.45
2022-05-25,Paris,18.77
2022-05-26,Paris,15.19
2022-05-27,Paris,19.89
